"Aktien_name","Aktien_URL","Aktien_Bilanzdaten_DieAktie","Aktien_Bilanzdaten_Jahr","Aktien_Bilanzdaten_EPSundiluted","Aktien_Bilanzdaten_EPSdiluted","Aktien_Bilanzdaten_DPS","Aktien_Bilanzdaten_GUV","Aktien_Bilanzdaten_Turnover","Aktien_Bilanzdaten_equityratio","Aktien_Bilanzdaten_deptratio","Aktien_HVDiv_Datum","Aktien_HVDiv_Dividende"
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Andritz AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","2010","1,74","1,73","0,85","Andritz AG: GuV (in Mio. EUR)","34,26","18,75","81,25","",""
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","2011","2,25","2,23","1,1","Andritz AG: GuV (in Mio. EUR)","44,42","19,64","80,36","",""
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","2012","2,36","2,34","1,2","Andritz AG: GuV (in Mio. EUR)","49,73","19,52","80,48","",""
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","2013","0,64","0,64","0,5","Andritz AG: GuV (in Mio. EUR)","54,77","16,15","83,85","",""
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","2014","2,04","2,03","1","Andritz AG: GuV (in Mio. EUR)","56,4","15,52","84,48","",""
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","2015","2,6","2,6","1,35","Andritz AG: GuV (in Mio. EUR)","61,86","19,08","80,92","",""
"Andritz Aktie [WKN: 73000 / ISIN: AT0000730007]","http://www.finanzen.at/bilanz_guv/Andritz","Andritz AG: Die Aktie (in EUR)","2016","2,69","2,69","1,5","Andritz AG: GuV (in Mio. EUR)","59,14","19,68","80,32","",""
"","","","","","","","","","","","23.03.18","-"
"","","","","","","","","","","","14.04.16","-"
"","","","","","","","","","","","30.03.16","1,35"
"","","","","","","","","","","","15.04.15","0,11"
"","","","","","","","","","","","26.03.15","1,00"
"","","","","","","","","","","","15.04.14","0,11"
"","","","","","","","","","","","21.03.14","0,50"
"","","","","","","","","","","","18.04.13","0,11"
"","","","","","","","","","","","22.03.13","1,20"
"","","","","","","","","","","","18.04.12","0,25"
"","","","","","","","","","","","22.03.12","1,10"
"","","","","","","","","","","","14.04.11","-"
"","","","","","","","","","","","13.04.11","-"
"","","","","","","","","","","","29.03.11","0,85"
"","","","","","","","","","","","15.04.10","-"
"","","","","","","","","","","","26.03.10","0,50"
"","","","","","","","","","","","02.04.09","-"
"","","","","","","","","","","","27.03.09","0,55"
"","","","","","","","","","","","10.04.08","-"
"","","","","","","","","","","","27.03.08","0,50"
"","","","","","","","","","","","29.03.07","0,38"
"","","","","","","","","","","","29.03.06","0,25"
"","","","","","","","","","","","07.04.05","0,20"
"","","","","","","","","","","","30.03.05","0,18"
"","","","","","","","","","","","01.04.04","0,20"
"","","","","","","","","","","","30.03.04","0,13"
"","","","","","","","","","","","08.04.03","0,12"
"","","","","","","","","","","","03.04.03","-"
"BUWOG Aktie [WKN DE: A1XDYU / ISIN: AT00BUWOG001]","http://www.finanzen.at/bilanz_guv/BUWOG","BUWOG AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","BUWOG AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"BUWOG Aktie [WKN DE: A1XDYU / ISIN: AT00BUWOG001]","http://www.finanzen.at/bilanz_guv/BUWOG","BUWOG AG: Die Aktie (in EUR)","2011","0,98","0,98","-","BUWOG AG: GuV (in Mio. EUR)","2,74","46,81","53,19","",""
"BUWOG Aktie [WKN DE: A1XDYU / ISIN: AT00BUWOG001]","http://www.finanzen.at/bilanz_guv/BUWOG","BUWOG AG: Die Aktie (in EUR)","2012","0,98","0,98","-","BUWOG AG: GuV (in Mio. EUR)","2,83","46,66","53,34","",""
"BUWOG Aktie [WKN DE: A1XDYU / ISIN: AT00BUWOG001]","http://www.finanzen.at/bilanz_guv/BUWOG","BUWOG AG: Die Aktie (in EUR)","2013","0,98","0,98","0","BUWOG AG: GuV (in Mio. EUR)","3,32","48,71","51,29","",""
